Team,Stadium,Opened,Left,Top
Arsenal,Emirates Stadium,2006,46.7,37.4
Aston Villa,Villa Park,1897,62.4,48.8
Bournemouth,Vitality Stadium,1910,89.0,63.0
Brentford,Gtech Community Stadium,2020,27.0,47.6
Brighton & Hove Albion,American Express Stadium,2011,53.0,66.7
Chelsea,Stamford Bridge,1877,38.4,48.5
Crystal Palace,Selhurst Park,1924,48.9,60.8
Everton,Goodison Park,1892,44.7,72.3
Fulham,Craven Cottage,1896,35.3,49.5
Ipswich Town,Portman Road,1884,74.8,56.4
Leicester City,King Power Stadium,2002,38.8,56.8
Liverpool,Anfield,1884,46.2,72.8
Manchester City,Etihad Stadium,2002,64.3,71.8
Manchester United,Old Trafford,1910,62.0,71.9
Newcastle United,St James' Park,1880,53.5,55.4
Nottingham Forest,City Ground,1898,39.8,40.1
Southampton,St Mary's Stadium,2001,18.7,64.5
Tottenham Hotspur,Tottenham Hotspur Stadium,2019,51.0,30.3
West Ham United,London Stadium,2011,55.8,39.8
Wolverhampton Wanderers,Molineux Stadium,1889,51.9,43.1
Blackburn Rovers,Ewood Park,1882,57.2,60.8
Bristol City,Ashton Gate Stadium,1904,71.0,37.4
Burnley,Turf Moor,1883,63.6,59.0
Cardiff City,Cardiff City Stadium,2009,70.4,86.8
Coventry City,Coventry Building Society Arena,2005,77.2,52.6
Derby County,Pride Park Stadium,1997,28.1,41.5
Hull City,MKM Stadium,2002,76.6,57.9
Leeds United,Elland Road,1897,35.8,55.8
Luton Town,Kenilworth Road,1905,15.6,66.0
Middlesbrough,Riverside Stadium,1995,68.7,80.2
Millwall,The Den,1993,52.4,47.8
Norwich City,Carrow Road,1935,81.0,26.6
Oxford United,Kassam Stadium,2001,23.5,32.5
Plymouth Argyle,Home Park,1901,36.9,75.5
Portsmouth,Fratton Park,1899,27.2,69.7
Preston North End,Deepdale,1878,52.4,59.9
Queens Park Rangers,Loftus Road,1917,34.2,44.2
Sheffield United,Bramall Lane,1855,39.3,77.5
Sheffield Wednesday,Hillsborough,1899,37.9,75.7
Stoke City,bet365 Stadium,1997,50.4,19.1
Sunderland,Stadium of Light,1997,62.0,59.5
Swansea City,Swansea.com Stadium,2005,50.7,79.8
Watford,Vicarage Road,1922,16.8,78.2
West Bromwich Albion,The Hawthorns,1900,58.4,48.8
Barnsley,Oakwell,1888,39.2,67.2
Birmingham City,St Andrew's,1906,62.4,50.3
Blackpool,Bloomfield Road,1899,43.5,58.8
Bolton Wanderers,Toughsheet Community Stadium,1997,56.2,67.2
Bristol Rovers,Memorial Stadium,1921,72.2,35.4
Burton Albion,Pirelli Stadium,2005,70.0,30.7
Cambridge United,Abbey Stadium,1932,37.8,47.5
Charlton Athletic,The Valley,1919,61.4,47.6
Crawley Town,Broadfield Stadium,1997,50.0,57.7
Exeter City,St. James Park,1904,51.1,62.9
Huddersfield Town,Kirklees Stadium,1994,29.0,62.8
Leyton Orient,Brisbane Road,1937,56.4,36.6
Lincoln City,Sincil Bank,1895,58.7,26.0
Mansfield Town,Field Mill,1861,36.3,29.8
Northampton Town,Sixfields Stadium,1994,45.7,76.7
Peterborough United,London Road Stadium,1913,23.0,29.5
Reading,Madejski Stadium,1998,29.3,44.5
Rotherham United,New York Stadium,2012,43.0,75.5
Shrewsbury Town,New Meadow,2007,26.0,38.3
Stevenage,Broadhall Way,1961,24.8,65.9
Stockport County,Edgeley Park,1901,65.5,74.3
Wigan Athletic,Brick Community Stadium,1922,53.1,68.3
Wrexham,Racecourse Ground,1864,75.9,21.2
Wycombe Wanderers,Adams Park,1990,34.1,36.5
Accrington Stanley,Crown Ground,1968,60.1,60.1
AFC Wimbledon,Cherry Red Records Stadium,2020,29.3,59.7
Barrow,Holker Street,1909,39.0,46.1
Bradford City,University of Bradford Stadium,1886,29.6,54.8
Bromley,Hayes Lane,1938,59.7,62.1
Carlisle United,Brunton Park,1909,47.0,15.8
Cheltenham Town,Completely-Suzuki Stadium,1927,84.0,20.4
Chesterfield,SMH Group Stadium,2010,28.9,23.6
Colchester United,JobServe Community Stadium,2008,65.3,64.1
Crewe Alexandra,Mornflake Stadium,1906,58.7,86.3
Doncaster Rovers,Eco-Power Stadium,2007,51.1,70.2
Fleetwood Town,Highbury Stadium,1939,44.0,54.4
Gillingham,Priestfield Stadium,1893,69.8,46.7
Grimsby Town,Blundell Park,1899,87.3,68.2
Harrogate Town,Exercise Stadium,1920,37.1,44.5
Milton Keynes Dons,Stadium MK,2007,36.0,22.0
Morecambe,Mazuma Mobile Stadium,2010,48.8,48.3
Newport County,Rodney Parade,1877,76.5,82.3
Notts County,Meadow Lane,1910,37.8,40.1
Port Vale,Vale Park,1950,49.4,15.9
Salford City,Peninsula Stadium,1978,62.4,69.5
Swindon Town,County Ground,1896,90.7,32.4
Tranmere Rovers,Prenton Park,1912,44.0,75.0
Walsall,Poundland Bescot Stadium,1990,58.2,45.1
